DEMANDANTE,Nome da Proposta/Iniciativa Estruturante,Unidade de Conservação,Observações,VALOR TOTAL ALOCADO,Valor da Iniciativa (R$),Valor Total da Iniciativa,SALDO,Nº SEI,AÇÃO DE APLICAÇÃO,CATEGORIA UC,CNUC,GR,BIOMA,UF
DIMAN,Estruturação do Uso Público nas Ucs,FLONA DA RESTINGA DE CABEDELO,"Aquisição de duas viaturas para unidade beneficiada com autorização de efetivo de mais de 3 ATAs da área temática de ""apoio à gestão do uso público"".",636000.0,636000.0,636000.0,0.0,16076447.0,Implementação da UC,FLONA,0000.00.0132,GR2 - Nordeste,Mata Atlântica,PB
 - ,Programa de Fomento e Apoio às Pesquisas Estratégicas para o Manejo das Unidades de Conservação Federais,PARNA DA CHAPADA DOS VEADEIROS,,406592.31,406592.31,406592.31,0.0,16105166.0,Pesquisa,PARNA,0000.00.0139,GR3 - Centro-Oeste,Cerrado,GO
DIMAN,Ações de manejo integrado do fogo nas Ucs,ESEC DE MARACÁ JIPIOCA,,500000.0,500000.0,500000.0,0.0,16074110.0,Implementação da UC,ESEC,0000.00.0058,GR1 - Norte,Amazônia - Área Marinha,AP
DIBIO,Restauração ecológica de áreas degradadas,REBIO DO GURUPI,"Serviço de mapeamento, diagnóstico em campo e remoto e estabelecimento de linha de base para monitoramento de áreas degradadas. R$ 300,00 por hectare + R$ 50.000,00 para logística de campo",350000.0,350000.0,350000.0,0.0,,Implementação da UC,REBIO,0000.00.0207,GR1 - Norte,Amazônia,MA
DIMAN,Ações de manejo integrado do fogo nas Ucs,ESEC DO TAIM,,2864680.195652174,500000.0,500000.0,0.0,16074110.0,Implementação da UC,ESEC,0000.00.0070,GR5 - Sul,Área Marinha - Pampa,RS
DIBIO,Restauração ecológica de áreas degradadas,RESEX DO CIRIÁCO,"Serviço de mapeamento, diagnóstico em campo e remoto e estabelecimento de linha de base para monitoramento de áreas degradadas. R$ 300,00 por hectare + R$ 50.000,00 para logística de campo",0.0,350000.0,350000.0,350000.0,,Implementação da UC,RESEX,0000.00.1519,GR2 - Nordeste,Amazônia - Cerrado,MA
DIBIO,Restauração ecológica de áreas degradadas,PARNA DA SERRA DA BODOQUENA,"Serviço de mapeamento, diagnóstico em campo e remoto e estabelecimento de linha de base para monitoramento de áreas degradadas. R$ 300,00 por hectare + R$ 50.000,00 para logística de campo",350000.0,350000.0,350000.0,0.0,,Implementação da UC,PARNA,0000.00.0143,GR3 - Centro-Oeste,Cerrado,MS
DIBIO,Restauração ecológica de áreas degradadas,PARNA DE SÃO JOAQUIM,"Serviço de mapeamento, diagnóstico em campo e remoto e estabelecimento de linha de base para monitoramento de áreas degradadas. R$ 300,00 por hectare + R$ 50.000,00 para logística de campo",300000.0,300000.0,300000.0,0.0,,Implementação da UC,PARNA,0000.00.0165,GR5 - Sul,Mata Atlântica,SC
 - ,Programa de Fomento e Apoio às Pesquisas Estratégicas para o Manejo das Unidades de Conservação Federais,PARNA DA CHAPADA DOS VEADEIROS,,299690.88,299690.88,299690.88,0.0,16105166.0,Pesquisa,PARNA,0000.00.0139,GR3 - Centro-Oeste,Cerrado,GO
DIMAN,Estruturação do Uso Público nas Ucs,MONA DAS ILHAS CAGARRAS,"Aquisição de duas viaturas para unidade beneficiada com autorização de efetivo de mais de 3 ATAs da área temática de ""apoio à gestão do uso público"".",0.0,636000.0,636000.0,636000.0,16076447.0,Implementação da UC,MONA,0000.00.0034,GR4 - Sudeste,Área Marinha - Mata Atlântica,RJ
